gname,nkill,nwound
Islamic State of Iraq and the Levant (ISIL),1570,0
Al-Qaida,1384,8190
Hutu extremists,1180,0
Al-Shabaab,588,316
Communist Party of Nepal- Maoist (CPN-M),518,216
